neighbourhood_group,room_type,p25,median,p75,avg
Bronx,Entire home/apt,80.0,100.0,140.0,127.51
Bronx,Private room,40.0,54.0,70.0,66.89
Bronx,Shared room,28.0,40.0,55.5,59.8
Brooklyn,Entire home/apt,105.0,145.0,199.0,178.35
Brooklyn,Private room,50.0,65.0,80.0,76.55
Brooklyn,Shared room,30.0,36.0,50.0,50.77
Manhattan,Entire home/apt,143.0,191.0,259.0,249.26
Manhattan,Private room,68.0,90.0,120.0,116.78
Manhattan,Shared room,49.0,69.0,89.25,88.98
Queens,Entire home/apt,90.0,120.0,168.25,147.05
Queens,Private room,47.0,60.0,75.0,71.76
Queens,Shared room,30.0,37.0,54.25,69.02
Staten Island,Entire home/apt,75.0,100.0,151.25,173.85
Staten Island,Private room,40.0,50.0,75.0,62.29
Staten Island,Shared room,29.0,30.0,75.0,57.44
